"CODE_TYPE","CODE_ID","CODE_DESCR"
"COURSE","GC-PRIMESL","Professional Certificate in Primary ESL"
"COURSE","GC-PROFSC","Graduate Certificate in Professional Skills for Scientists"
"COURSE","GC-QA","Graduate Certificate in Quality Assurance"
"COURSE","GC-REHABSC","Graduate Certificate in Rehabilitation Science"
"COURSE","GC-RESMGPL","Graduate Certificate in Research Management and Policy"
"COURSE","GC-RPP","Specialist Certificate in Rural Paediatric Practice"
"COURSE","GC-SAECC","Graduate Certificate in Small Animal Emergency and Critical Care"
"COURSE","GC-SAUA","Graduate Certificate in Small Animal Ultrasound Abdominal"
"COURSE","GC-SC","Graduate Certificate in Science"
"COURSE","GC-SCI","Graduate Certificate in Science"
"COURSE","GC-SCM","Graduate Certificate in Supply Chain Management"
"COURSE","GC-SEXHLTH","Graduate Certificate in Sexual Health"
"COURSE","GC-SOCIMP","Graduate Certificate in Social Impact"
"COURSE","GC-SOCPOL","Specialist Certificate in Social Policy (Social Inclusion)"
"COURSE","GC-SPMED","Graduate Certificate in Sports Medicine"
"COURSE","GC-STRATMK","Specialist Certificate in Strategic Marketing"
"COURSE","GC-SURGED","Graduate Certificate in Surgical Education"
"COURSE","GC-SURGSC","Graduate Certificate in Surgical Science"
"COURSE","GC-TEDGOV","Graduate Certificate in Tertiary Education (Governance)"
"COURSE","GC-TEDMGT","Graduate Certificate in Tertiary Education (Management)"
"COURSE","GC-TEDQA","Graduate Certificate in Tertiary Education (Quality Assurance)"
"COURSE","GC-TEDRMP","Graduate Certificate in Tertiary Education (Research Mgmt and Policy)"
"COURSE","GC-TEM","Graduate Certificate in Tertiary Education Management"
"COURSE","GC-TEMMCP","Graduate Certificate in Tertiary Education Management"
"COURSE","GC-TERTCH","Graduate Certificate in Tertiary Teaching"
"COURSE","GC-TESOL","Graduate Certificate in TESOL"
"COURSE","GC-TESOLA","Graduate Certificate in TESOL (Stream A)"
"COURSE","GC-TESOLB","Graduate Certificate in TESOL (Stream B)"
"COURSE","GC-TRNSPRC","Graduate Certificate in Transfusion Practice"
"COURSE","GC-URBHORT","Graduate Certificate in Urban Horticulture"
"COURSE","GC-VOICEST","Graduate Certificate in Voice Studies"
"COURSE","GC-VPH","Graduate Certificate in Veterinary Public Health"
"COURSE","GC-YMH","Graduate Certificate in Youth Mental Health"
"COURSE","GC-YOUTHMH","Graduate Certificate in Youth Mental Health"
"COURSE","GCA-ARTS","Graduate Certificate in Arts (Advanced)"
"COURSE","GCA-JOURN","Graduate Certificate in Journalism (Advanced)"
"COURSE","GCA-PA","Graduate Certificate in Public Administration (Advanced)"
"COURSE","GCA-PUBCOM","Graduate Certificate in Publishing and Communications (Advanced)"
"COURSE","GD-ACTSC","Graduate Diploma in Actuarial Science"
"COURSE","GD-ADOLHW","Graduate Diploma in Adolescent Health and Wellbeing"
"COURSE","GD-AGEING","Graduate Diploma in Ageing"
"COURSE","GD-AGRBUSV","Graduate Diploma in Agribusiness for Veterinarians"
"COURSE","GD-AGSC","Graduate Diploma in Agricultural Sciences"
"COURSE","GD-ANAMGT","Graduate Diploma in Analytics Management"
"COURSE","GD-ARTS","Graduate Diploma in Arts"
"COURSE","GD-BA","Graduate Diploma in Business Administration"
"COURSE","GD-BFIREPM","Graduate Diploma in Bushfire Planning and Management"
"COURSE","GD-BIOSTAT","Graduate Diploma in Biostatistics"
"COURSE","GD-BLTENV","Graduate Diploma in Built Environments"
"COURSE","GD-CCLAW","Graduate Diploma in Competition and Consumer Law"
"COURSE","GD-CDIMPL","Graduate Diploma in Clinical Dentistry (Implants)"
"COURSE","GD-CLINED","Graduate Diploma in Clinical Education"
"COURSE","GD-CLINUS","Graduate Diploma in Clinical Ultrasound"
"COURSE","GD-COMPLAW","Graduate Diploma in Competition Law"
"COURSE","GD-CORPLAW","Graduate Diploma in Corporate Law"
"COURSE","GD-CS","Graduate Diploma in Computer Science"
"COURSE","GD-DATASC","Graduate Diploma in Data Science"
"COURSE","GD-EDST","Graduate Diploma in Educational Studies"
"COURSE","GD-ENRSLAW","Graduate Diploma in Energy and Resources Law"
"COURSE","GD-ENV","Graduate Diploma in Environment"
"COURSE","GD-ENVLAW","Graduate Diploma in Environmental Law"
"COURSE","GD-FIN","Graduate Diploma in Finance"
"COURSE","GD-FOODSC","Graduate Diploma in Food Science"
"COURSE","GD-GCCLAW","Graduate Diploma in Global Competition and Consumer Law"
"COURSE","GD-GENOHLT","Graduate Diploma in Genomics and Health"
"COURSE","GD-LEGSTU","Graduate Diploma in Legal Studies"
"COURSE","GD-MHNP","Graduate Diploma in Mental Health Nursing Practice"
"COURSE","GD-MHSC","Graduate Diploma in Mental Health Science"
"COURSE","GD-MKTG","Graduate Diploma in Marketing"
"COURSE","GD-MUS","Graduate Diploma in Music"
"COURSE","GD-NPMH","Graduate Diploma in Nursing Practice (Mental Health)"
"COURSE","GD-PCN","Graduate Diploma in Primary Care Nursing"
"COURSE","GD-REHABSC","Graduate Diploma in Rehabilitation Science"
"COURSE","GD-SC","Graduate Diploma in Science"
"COURSE","GD-SCI","Graduate Diploma in Science"
"COURSE","GD-SPMED","Graduate Diploma in Sports Medicine"
"COURSE","GD-SURGANT","Graduate Diploma in Surgical Anatomy"
"COURSE","GD-SURGED","Graduate Diploma in Surgical Education"
"COURSE","GD-TCHEC","Graduate Diploma in Teaching (Early Childhood)"
"COURSE","GD-TROPMH","Graduate Diploma in Tropical Medicine and Hygiene"
"COURSE","GD-URBHORT","Graduate Diploma in Urban Horticulture"
"COURSE","GD-VOICEST","Graduate Diploma in Voice Studies"
"COURSE","GD-VPH","Graduate Diploma in Veterinary Public Health"
"COURSE","GD-VPHEAD","Graduate Diploma in Veterinary Public Health (EAD)"
"COURSE","GD-VPLMGT","Graduate Diploma in Veterinary Professional Leadership and Management"
"COURSE","GD-YMH","Graduate Diploma in Youth Mental Health"
"COURSE","GD-YOUTHMH","Graduate Diploma in Youth Mental Health"
"COURSE","GDA-ACM","Graduate Diploma in Arts and Cultural Management (Advanced)"
"COURSE","GDA-ARTS","Graduate Diploma in Arts (Advanced)"
"COURSE","GDA-BLTENV","Graduate Diploma in Built Environments (Advanced)"
"COURSE","GDA-CD","Graduate Diploma in Clinical Dentistry (Advanced)"
"COURSE","GDA-JOURN","Graduate Diploma in Journalism (Advanced)"
"COURSE","GDA-PSYCH","Graduate Diploma in Psychology (Advanced)"
"COURSE","GDA-PUBCOM","Graduate Diploma in Publishing and Communications (Advanced)"
"COURSE","GDA-SCI","Graduate Diploma in Science (Advanced)"
"COURSE","J01AB","Master of Advanced Nursing Practice"
"COURSE","J01AE","Master of Advanced Nursing Practice (Mental Health)"
"COURSE","J01AF","Master of Advanced Nursing Practice (Palliative Care)"
"COURSE","J01AL","Master of Advanced Nursing Practice (Cancer Nursing)"
"COURSE","J01AP","Master of Advanced Nursing Practice (Paediatrics)"
"COURSE","J01AR","Master of Advanced Nursing Practice (Critical Care)"
"COURSE","J01AS","Master of Advanced Nursing Practice (Emergency Care)"
"COURSE","J01AY","Master of Advanced Nursing Practice (Rural Critical Care)"
"COURSE","J02AA","Doctor of Clinical Physiotherapy"
"COURSE","J03CC","Postgraduate Certificate in Nursing Practice (Critical Care)"
"COURSE","J03CP","Postgraduate Certificate in Nursing Practice (Cancer & Palliative Care)"
"COURSE","J03EM","Postgraduate Certificate in Nursing Practice (Emergency)"
"COURSE","J03PA","Postgraduate Certificate in Nursing Practice (Paediatrics)"
"COURSE","J03RC","Postgraduate Certificate in Nursing Practice (Rural Critical Care)"
"COURSE","J04CC","Postgraduate Diploma in Nursing Practice (Critical Care)"
"COURSE","J04CP","Postgraduate Diploma in Nursing Practice (Cancer & Palliative Care)"
"COURSE","J04EM","Postgraduate Diploma in Nursing Practice (Emergency)"
"COURSE","J04MH","Postgraduate Diploma in Nursing Practice (Mental Health)"
"COURSE","J04PA","Postgraduate Diploma in Nursing Practice (Paediatrics)"
"COURSE","J04PC","Postgraduate Diploma in Nursing Practice (Paediatric Critical Care)"
"COURSE","J04RC","Postgraduate Diploma in Nursing Practice (Rural Critical Care)"
"COURSE","J05AA","Postgraduate Diploma in Nursing"
"COURSE","J05CP","Postgraduate Diploma in Nursing (Cancer & Palliative Care Theory)"
"COURSE","J05EM","Postgraduate Diploma in Nursing (Emergency Theory)"
"COURSE","J05MH","Postgraduate Diploma in Nursing (Mental Health Theory)"
"COURSE","J05PA","Postgraduate Diploma in Nursing (Paediatrics Theory)"
"COURSE","J05PC","Postgraduate Diploma in Nursing (Paediatric Critical Care Theory)"
"COURSE","J06AA","Postgraduate Diploma in Primary Care Nursing"
"COURSE","J15AA","Doctor of Medical Science"
"COURSE","J15TC","Doctor of Medical Science"
"COURSE","J16AB","Master of Advanced Social Work"
"COURSE","J17RE","Master of Advanced Social Work"
"COURSE","L01AA","Master of English as an International Language"
"COURSE","L02AA","Graduate Diploma in English as an International Language"
"COURSE","L03AA","Graduate Certificate in English as an International Language"
"COURSE","L07AA","Graduate Diploma in Environment, Energy and Resources Law"
"COURSE","M01CO","Graduate Diploma in Music (Composition)"
"COURSE","M01MU","Graduate Diploma in Music (Musicology/Ethnomusicology)"
"COURSE","M01PM","Graduate Diploma in Music (Practical Music)"
"COURSE","M02MU","Graduate Certificate in Music (Musicology/Ethnomusicology)"
"COURSE","M02PM","Graduate Certificate in Music (Practical Music)"
"COURSE","M04AA","Master of Music Therapy"
"COURSE","MC-ACP","Master of Arts and Community Practice"
"COURSE","MC-ACTSCEN","Master of Actuarial Science (Enhanced)"
"COURSE","MC-ACTSCEX","Master of Actuarial Science (Extended)"
"COURSE","MC-ACTSCI","Master of Actuarial Science"
"COURSE","MC-ADOLHW","Master of Adolescent Health and Wellbeing"
"COURSE","MC-AGEING","Master of Ageing"
"COURSE","MC-AGSC","Master of Agricultural Sciences"
"COURSE","MC-AGSCI","Master of Agricultural Science"
"COURSE","MC-AHW","Master of Adolescent Health and Welfare"
"COURSE","MC-AN","Master of Advanced Nursing"
"COURSE","MC-ANAMGT","Master of Analytics Management"
"COURSE","MC-ANISCI","Master of Animal Science"
"COURSE","MC-ANP","Master of Advanced Nursing Practice"
"COURSE","MC-ANPMH","Master of Advanced Nursing Practice (Mental Health)"
"COURSE","MC-ANPNICU","Master of Advanced Nursing Practice (Neonatal Intensive Care)"
"COURSE","MC-ANPNP","Master of Advanced Nursing Practice (Nurse Practitioner)"
"COURSE","MC-AP","Master of Applied Psychology"
"COURSE","MC-APLING","Master of Applied Linguistics"
"COURSE","MC-APP","Master of Applied Positive Psychology"
"COURSE","MC-APPANA","Master of Applied Analytics"
"COURSE","MC-APPECON","Master of Applied Econometrics"
"COURSE","MC-APPLING","Master of Applied Linguistics"
"COURSE","MC-ARCH","Master of Architecture"
"COURSE","MC-ARCH2Y","Master of Architecture"
"COURSE","MC-ARCH3Y","Master of Architecture"
"COURSE","MC-ARCHENG","Master of Architectural Engineering"
"COURSE","MC-ARTPAE","Master of Arts (Professional and Applied Ethics)"
"COURSE","MC-ASW","Master of Advanced Social Work"
"COURSE","MC-AVHMGA","Master of Avian Health and Medicine"
"COURSE","MC-BA","Master of Business Administration"
"COURSE","MC-BAEV","Master of Business Administration"
"COURSE","MC-BAEXEC","Master of Business Administration (Executive)"
"COURSE","MC-BAMKTG","Master of Business Administration/Master of Marketing"
"COURSE","MC-BAPROF","Master of Business Administration (Professional)"
"COURSE","MC-BAPT","Master of Business Administration"
"COURSE","MC-BAPTME","Master of Business Administration"
"COURSE","MC-BMEDSC","Master of Biomedical Science"
"COURSE","MC-BUSANA","Master of Business Analytics"
"COURSE","MC-C001","Master of Education"
"COURSE","MC-C002","Master of Music Therapy"
"COURSE","MC-C003","Master of Instructional Leadership"
"COURSE","MC-CAT","Master of Creative Arts Therapy"
"COURSE","MC-CCULDEV","Master of Community Cultural Development"
"COURSE","MC-CINMG","Master of Cinema Management"
"COURSE","MC-CLINED","Master of Clinical Education"
"COURSE","MC-CLINOPT","Master of Clinical Optometry"
"COURSE","MC-CLINTCH","Master of Clinical Teaching"
"COURSE","MC-CM","Master of Construction Management"
"COURSE","MC-CMCNLAW","Master of Competition and Consumer Law"
"COURSE","MC-CNCRSC","Master of Cancer Sciences"
"COURSE","MC-COMACCT","Master of Commerce (Accounting)"
"COURSE","MC-COMACSC","Master of Commerce (Actuarial Science)"
"COURSE","MC-COMACT","Master of Commerce (Accounting)"
"COURSE","MC-COMACTS","Master of Commerce (Actuarial Science)"
"COURSE","MC-COMDRFS","Master of Commerce (Decision, Risk and Financial Sciences)"
"COURSE","MC-COMECO","Master of Commerce (Economics)"
"COURSE","MC-COMFIN","Master of Commerce (Finance)"
"COURSE","MC-COMMGMT","Master of Commerce (Management)"
"COURSE","MC-COMMGT","Master of Commerce (Management)"
"COURSE","MC-COMMKT","Master of Commerce (Marketing)"
"COURSE","MC-COMMKTG","Master of Commerce (Marketing)"
"COURSE","MC-COMPBIO","Master of Computational Biology"
"COURSE","MC-CONMG2Y","Master of Construction Management"
"COURSE","MC-CONMG3Y","Master of Construction Management"
"COURSE","MC-CS","Master of Computer Science"
"COURSE","MC-CTPYART","Master of Contemporary Art"
"COURSE","MC-CU","Master of Clinical Ultrasound"
"COURSE","MC-CULMC","Master of Cultural Materials Conservation"
"COURSE","MC-DANCE","Master of Dance"
"COURSE","MC-DATASC","Master of Data Science"
"COURSE","MC-DDENSUR","Doctor of Dental Surgery"
"COURSE","MC-DESURBD","Master of Design (Urban Design)"
"COURSE","MC-DIRPERF","Master of Directing for Performance"
"COURSE","MC-DMED","Doctor of Medicine"
"COURSE","MC-DOPTOM","Doctor of Optometry"
"COURSE","MC-DPHYSIO","Doctor of Physiotherapy"
"COURSE","MC-DRAMAT","Master of Dramaturgy"
"COURSE","MC-DSNPERF","Master of Design for Performance"
"COURSE","MC-DVETMED","Doctor of Veterinary Medicine"
"COURSE","MC-ECO","Master of Economics"
"COURSE","MC-ECOSMC","Master of Ecosystem Management and Conservation"
"COURSE","MC-ED","Master of Education"
"COURSE","MC-EDEBT","Master of Education in Evidence-Based Teaching"
"COURSE","MC-EDEDMGT","Master of Education (Educational Management)"
"COURSE","MC-EDIBDP","Master of Education (International Baccalaureate) DP"
"COURSE","MC-EDIBDPO","Master of Education (International Baccalaureate) DP"
"COURSE","MC-EDIBPY","Master of Education (International Baccalaureate) PYP"
"COURSE","MC-EMA","Executive Master of Arts"
"COURSE","MC-EMPA","Executive Master of Public Administration"
"COURSE","MC-ENG","Master of Engineering"
"COURSE","MC-ENGGC","Master of English in a Global Context"
"COURSE","MC-ENGYSYS","Master of Energy Systems"
"COURSE","MC-ENRSLAW","Master of Energy and Resources Law"
"COURSE","MC-ENT","Master of Enterprise"
"COURSE","MC-ENTR","Master of Entrepreneurship"
"COURSE","MC-ENTSC","Master of Enterprise (Science)"
"COURSE","MC-ENV","Master of Environment"
"COURSE","MC-ENVLAW","Master of Environmental Law"
"COURSE","MC-ENVSC","Master of Environmental Science"
"COURSE","MC-EVAL","Master of Evaluation"
"COURSE","MC-EVALO","Master of Evaluation"
"COURSE","MC-FILMTV","Master of Film and Television"
"COURSE","MC-FIN","Master of Finance"
"COURSE","MC-FINANCE","Master of Finance"
"COURSE","MC-FINENH","Master of Finance (Enhanced)"
"COURSE","MC-FOODPI","Master of Food and Packaging Innovation"
"COURSE","MC-FRSTES","Master of Forest Ecosystem Science"
"COURSE","MC-GCCLAW","Master of Global Competition and Consumer Law"
"COURSE","MC-GENCOUN","Master of Genetic Counselling"
"COURSE","MC-GENOHLT","Master of Genomics and Health"
"COURSE","MC-GEOG","Master of Geography"
"COURSE","MC-GEOSC","Master of Geoscience"
"COURSE","MC-GMCOM","Master of Global Media Communication"
"COURSE","MC-HHS","Master of Health and Human Services"
"COURSE","MC-HSS","Master of Health Social Sciences"
"COURSE","MC-HUMRLAW","Master of Human Rights Law"
"COURSE","MC-IB","Master of International Business"
"COURSE","MC-INSLEAD","Master of Instructional Leadership"
"COURSE","MC-INTEDIB","Master of International Education (International Baccalaureate)"
"COURSE","MC-INTJOUR","Master of International Journalism"
"COURSE","MC-IR","Master of International Relations"
"COURSE","MC-IS","Master of Information Systems"
"COURSE","MC-ISEXEC","Master of Information Systems (Executive)"
"COURSE","MC-ISLMSTU","Master of Islamic Studies"
"COURSE","MC-IT","Master of Information Technology"
"COURSE","MC-IT100","Master of Information Technology"
"COURSE","MC-IT150","Master of Information Technology"
"COURSE","MC-ITMEXEC","Master of IT Management (Executive)"
"COURSE","MC-JOURN","Master of Journalism"
"COURSE","MC-JURISD","Juris Doctor"
"COURSE","MC-LARCH","Master of Landscape Architecture"
"COURSE","MC-LARCH2Y","Master of Landscape Architecture"
"COURSE","MC-LARCH3Y","Master of Landscape Architecture"
"COURSE","MC-LAWGCCL","Master of Laws (Global Competition and Consumer Law)"
"COURSE","MC-LI","Master of Learning Intervention"
"COURSE","MC-LIT","Master of Literacy"
"COURSE","MC-LITEDUC","Master of Literacy Education"
"COURSE","MC-MGMT","Master of Management"
"COURSE","MC-MGMTACT","Master of Management (Accounting)"
"COURSE","MC-MGMTAFN","Master of Management (Accounting and Finance)"
"COURSE","MC-MGMTBAS","Master of Management (Business Analysis and Systems)"
"COURSE","MC-MGMTECO","Master of Management (Economics)"
"COURSE","MC-MGMTFIN","Master of Management (Finance)"
"COURSE","MC-MGMTHRE","Master of Management (Human Resources)"
"COURSE","MC-MGMTMKT","Master of Management (Marketing)"
"COURSE","MC-MGTACTS","Master of Management (Accounting)"
"COURSE","MC-MGTFINS","Master of Management (Finance)"
"COURSE","MC-MGTHRES","Master of Management (Human Resources)"
"COURSE","MC-MGTMKTS","Master of Management (Marketing)"
"COURSE","MC-MGTS","Master of Management"
"COURSE","MC-MHSC","Master of Mental Health Science"
"COURSE","MC-MINENG","Master of Mining Engineering"
"COURSE","MC-MKTCOMM","Master of Marketing Communications"
"COURSE","MC-MLEA","Master of Modern Languages Education (Stream A)"
"COURSE","MC-MLEB","Master of Modern Languages Education (Stream B)"
"COURSE","MC-MLED","Master of Modern Languages Education"
"COURSE","MC-MUSOP","Master of Music (Opera Performance)"
"COURSE","MC-MUSORP","Master of Music (Orchestral Performance)"
"COURSE","MC-MUSPT","Master of Music (Performance Teaching)"
"COURSE","MC-NE","Master of Nanoelectronic Engineering"
"COURSE","MC-NTCW","Master of Narrative Therapy and Community Work"
"COURSE","MC-NUM","Master of Numeracy"
"COURSE","MC-NURSC","Master of Nursing Science"
"COURSE","MC-NURSCI","Master of Nursing Science"
"COURSE","MC-OPLEAD","Master of Operational Leadership"
"COURSE","MC-ORGLEAD","Master of Organisational Leadership"
"COURSE","MC-PA","Master of Public Administration"
"COURSE","MC-PAENH","Master of Public Administration (Enhanced)"
"COURSE","MC-PHTYPH","Master of Physiotherapy (Pelvic Health)"
"COURSE","MC-PO","Master of Psychiatry"
"COURSE","MC-PRIVLAW","Master of Private Law"
"COURSE","MC-PROD","Master of Producing"
"COURSE","MC-PRODDFS","Master of Production Design for Screen"
"COURSE","MC-PROP","Master of Property"
"COURSE","MC-PROP2Y","Master of Property"
"COURSE","MC-PROP3Y","Master of Property"
"COURSE","MC-PSYCHCS","Master of Psychology (Clinical - Singapore)"
"COURSE","MC-PUBCOM","Master of Publishing and Communications"
"COURSE","MC-REHABSC","Master of Rehabilitation Science"
"COURSE","MC-SCIBHS","Master of Science (Biomedical and Health Sciences)"
"COURSE","MC-SCIBIF","Master of Science (Bioinformatics)"
"COURSE","MC-SCIBIO","Master of Science (BioSciences)"
"COURSE","MC-SCIBIT","Master of Biotechnology"
"COURSE","MC-SCIBOT","Master of Science (Botany)"
"COURSE","MC-SCICHE","Master of Science (Chemistry)"
"COURSE","MC-SCICMP","Master of Science (Computer Science)"
"COURSE","MC-SCIEAR","Master of Science (Earth Sciences)"
"COURSE","MC-SCIECO","Master of Science (Ecosystem Science)"
"COURSE","MC-SCIENV","Master of Science (Environmental Science)"
"COURSE","MC-SCIEPI","Master of Science (Epidemiology)"
"COURSE","MC-SCIGEN","Master of Science (Genetics)"
"COURSE","MC-SCIGEO","Master of Science (Geography)"
"COURSE","MC-SCIINF","Master of Science (Information Systems)"
"COURSE","MC-SCIMAN","Master of Operations Research and Management Science"
"COURSE","MC-SCIMAT","Master of Science (Mathematics and Statistics)"
"COURSE","MC-SCIPHY","Master of Science (Physics)"
"COURSE","MC-SCIVIS","Master of Science (Vision Science)"
"COURSE","MC-SCIZOO","Master of Science (Zoology)"
"COURSE","MC-SCM","Master of Supply Chain Management"
"COURSE","MC-SCM150","Master of Supply Chain Management"
"COURSE","MC-SCWR","Master of Screenwriting"
"COURSE","MC-SISC","Master of Spatial Information Science"
"COURSE","MC-SOCW","Master of Social Work"
"COURSE","MC-SOCWRK","Master of Social Work (250)"
"COURSE","MC-SPCHPTH","Master of Speech Pathology"
"COURSE","MC-SPMED","Master of Sports Medicine"
"COURSE","MC-SPREHAB","Master of Sports Rehabilitation"
"COURSE","MC-SURGED","Master of Surgical Education"
"COURSE","MC-SURGSC","Master of Surgical Science"
"COURSE","MC-TEACHCA","Master of Teaching (Early Childhood)"
"COURSE","MC-TEACHCR","Master of Teaching (Early Childhood)"
"COURSE","MC-TEACHEC","Master of Teaching (Early Childhood)"
"COURSE","MC-TEACHEP","Master of Teaching (Early Childhood and Primary)"
"COURSE","MC-TEACHFA","Master of Teaching (Teach for Australia)"
"COURSE","MC-TEACHPR","Master of Teaching (Primary)"
"COURSE","MC-TEACHSA","Master of Teaching (Secondary)"
"COURSE","MC-TEACHSI","Master of Teaching (Secondary) Internship"
"COURSE","MC-TEACHSR","Master of Teaching (Secondary)"
"COURSE","MC-TEACHYA","Master of Teaching (Early Years)"
"COURSE","MC-TEDMGT","Master of Tertiary Education (Management)"
"COURSE","MC-TEM","Master of Tertiary Education Management"
"COURSE","MC-TESOL","Master of TESOL"
"COURSE","MC-TESOLA","Master of TESOL (Stream A)"
"COURSE","MC-TESOLB","Master of TESOL (Stream B)"
"COURSE","MC-THTRDIR","Master of Theatre (Directing)"
"COURSE","MC-THTRDRA","Master of Theatre (Dramaturgy)"
"COURSE","MC-THTRWRI","Master of Theatre (Writing)"
"COURSE","MC-TRANEXT","Master of Translation (Extended)"
"COURSE","MC-TRANS","Master of Translation"
"COURSE","MC-TRANSEN","Master of Translation (Enhanced)"
"COURSE","MC-UCH","Master of Urban and Cultural Heritage"
"COURSE","MC-URBDES","Master of Urban Design"
"COURSE","MC-URBHORT","Master of Urban Horticulture"
"COURSE","MC-URPL","Master of Urban Planning"
"COURSE","MC-VETSTDR","Master of Veterinary Studies"
"COURSE","MC-VPH","Master of Veterinary Public Health"
"COURSE","MC-VPHEAD","Master of Veterinary Public Health (Emergency Animal Diseases)"
"COURSE","MC-WRIPERF","Master of Writing for Performance"
"COURSE","MC-WTVIT","Master of Wine Technology and Viticulture"
"COURSE","MC-YMH","Master of Youth Mental Health"
"COURSE","MC-YOUTHMH","Master of Youth Mental Health"
"COURSE","ME-DCD","Doctor of Clinical Dentistry"
"COURSE","MR-ARTSAST","Master of Arts (Advanced Seminar & Shorter Thesis)"
"COURSE","MR-ARTSTHS","Master of Arts (Thesis only)"
"COURSE","MR-ARTSTS","Master of Arts (Theatre Studies)"
"COURSE","MR-EVAL","Master of Evaluation"
"COURSE","MR-FA","Master of Fine Arts"
"COURSE","MR-FACCD","Master of Fine Arts (Community Cultural Development)"
"COURSE","MR-FACMUS","Master of Fine Arts (Contemporary Music)"
"COURSE","MR-FADANCE","Master of Fine Arts (Dance)"
"COURSE","MR-FAFTV","Master of Fine Arts (Film and Television)"
"COURSE","MR-FAIAC","Master of Fine Arts (Indigenous Arts & Culture)"
"COURSE","MR-FAIAP","Master of Fine Arts (Interdisciplinary Arts Practice)"
"COURSE","MR-FAMUSTH","Master of Fine Arts (Music Theatre)"
"COURSE","MR-FAPROD","Master of Fine Arts (Production)"
"COURSE","MR-FATHTR","Master of Fine Arts (Theatre)"
"COURSE","MR-FAVISAR","Master of Fine Arts (Visual Art)"
"COURSE","MR-IRCHEM","Master of Industrial Research (Chemistry)"
"COURSE","MR-MUSINCO","Master of Music (Interactive Composition)"
"COURSE","MR-MUSJI","Master of Music (Jazz & Improvisation)"
"COURSE","MR-MUSMPPS","Master of Music (Music Psychology & Performance Science)"
"COURSE","MR-MUSRES","Master of Music (Research)"
"COURSE","MR-PHILABP","Master of Philosophy - Architecture, Building and Planning"
"COURSE","MR-PHILAGR","Master of Philosophy - Agricultural Sciences"
"COURSE","MR-PHILBE","Master of Philosophy - Business and Economics"
"COURSE","MR-PHILBMS","Master of Philosophy - MDHS (Biomedical Science)"
"COURSE","MR-PHILBVS","Master of Philosophy - MDHS (Behavioural Science)"
"COURSE","MR-PHILDSC","Master of Philosophy - MDHS (Dental Science)"
"COURSE","MR-PHILEDU","Master of Philosophy - Education"
"COURSE","MR-PHILEIT","Master of Philosophy - Engineering and IT"
"COURSE","MR-PHILENG","Master of Philosophy - Engineering"
"COURSE","MR-PHILHLT","Master of Philosophy - MDHS (Health Sciences)"
"COURSE","MR-PHILLAW","Master of Philosophy - Law"
"COURSE","MR-PHILLE","Master of Philosophy - Land and Environment"
"COURSE","MR-PHILMED","Master of Philosophy - MDHS (Medicine)"
"COURSE","MR-PHILPGH","Master of Philosophy - MDHS (Population and Global Health)"
"COURSE","MR-PHILPHY","Master of Philosophy - MDHS (Physiotherapy)"
"COURSE","MR-PHILPOP","Master of Philosophy - MDHS (Population Health)"
"COURSE","MR-PHILPSY","Master of Philosophy - MDHS (Psychological Sciences)"
"COURSE","MR-PHILSCI","Master of Philosophy - Science"
"COURSE","MR-PHILSWK","Master of Philosophy - MDHS (Social Work)"
"COURSE","MR-PHILVET","Master of Philosophy - Veterinary Science"
"COURSE","MR-RESMED","Master of Research"
"COURSE","N01AA","Master of Clinical Research"
"COURSE","N05BR","Specialist Certificate in Clinical Research (Biomedical Research Mgmt)"
"COURSE","N05NS","Specialist Certificate in Clinical Research (Neuroscience)"
"COURSE","N05ON","Specialist Certificate in Clinical Research (Oncology)"
"COURSE","N12AA","Graduate Certificate in Clinical Research"
"COURSE","N16AA","Graduate Certificate in International Management (PETRONAS)"
"COURSE","N18AA","Graduate Certificate in Scientific Leadership"
"COURSE","N20AA","Master of Enterprise (Executive)"
"COURSE","N26AA","Postgraduate Diploma in Surgical Anatomy"
"COURSE","N28AA","Professional Certificate in Clinical Research"
"COURSE","N30AA","Professional Certificate in Management (PETRONAS)"
"COURSE","N34AA","Graduate Diploma in Clinical Research"
"COURSE","N40AA","Professional Certificate in Operations"
"COURSE","N42AA","Professional Certificate in Automotive Dealer Management"
"COURSE","N52AA","Postgraduate Certificate in Literacy Leadership"
"COURSE","N53AA","Specialist Certificate in Literacy Leadership"
"COURSE","NA-AUDITMC","CAP Non Assessed (Audit) Postgraduate (MCP)"
"COURSE","NA-AUDITPG","CAP Non Assessed (Audit) Postgraduate"
"COURSE","NA-AUDITUG","CAP Non Assessed (Audit) Undergraduate"
"COURSE","NA-CAPMCP","CAP Assessed Postgraduate (MCP)"
"COURSE","NA-CAPPG","CAP Assessed Postgraduate"
"COURSE","NA-CAPUG","CAP Assessed Undergraduate"
"COURSE","NA-UMEP","University of Melbourne Extension Program"
"COURSE","PC-ARTS","Postgraduate Certificate in Arts"
"COURSE","PC-BFIREPM","Postgraduate Certificate in Bushfire Planning and Management"
"COURSE","PC-BUSHFMG","Postgraduate Certificate in Bushfire Management"
"COURSE","PC-CCPI","Postgraduate Certificate in Climate Change for Primary Industries"
"COURSE","PC-CU","Postgraduate Certificate in Clinical Ultrasound"
"COURSE","PC-CURLEAD","Postgraduate Certificate in Curriculum Leadership"
"COURSE","PC-DENTHRP","Postgraduate Certificate in Dental Therapy (Advanced Clinical Practice)"
